"","actors","score_coef"
"608","Michael Papajohn",0.0418862605136206
"609","Chi McBride",0.0417126812107544
"610","John Doman",0.0410622649955567
"611","Gary Coleman",0.0409991121981277
"612","Kurt Fuller",0.0409492914296658
"613","Snoop Dogg",0.0406583753565217
"614","AJ Michalka",0.0405479090107381
"615","Charlie Hunnam",0.040530219870531
"616","Chris Pontius",0.0404400163878248
"617","James Corden",0.0404180574435516
"618","Daniel Kaluuya",0.0404179338166367
"619","Frank Gerrish",0.0404126011384176
"620","Shaun Toub",0.0404094739549334
"621","Kip Pardue",0.0401176534366672
"622","Danny Aiello",0.040005827760462
"623","Gena Rowlands",0.0399405550361012
"624","Tom Noonan",0.0399267623457279
"625","Adam LeFevre",0.0399162518431307
"626","Kieran Culkin",0.0398161977791527
"627","Hope Davis",0.0398001272365596
"628","Russell Wong",0.038835566850263
"629","Hana Mae Lee",0.0386770882038352
"630","Tzi Ma",0.038570004455746
"631","Ben Falcone",0.0385504805297043
"632","Melissa McMeekin",0.0385270911212737
"633","Sarah Gadon",0.0384376277450098
"634","Kevin Rankin",0.0378757605454614
"635","Jeffrey DeMunn",0.0377833727222854
"636","Jeremy Renner",0.0375222194105687
"637","Martin Kove",0.0374864687376947
"638","Rosario Dawson",0.037211166613576
"639","Martin Landau",0.0370781190732263
"640","Peter Dinklage",0.0369556914723537
"641","Rafe Spall",0.036799398485213
"642","John de Lancie",0.0365108229531834
"643","Anjelica Huston",0.0362698290735816
"644","Armando Riesco",0.036222009401939
"645","James Badge Dale",0.0361902527015239
"646","Alex Borstein",0.0356488531990853
"647","Cara Seymour",0.0355101938108133
"648","Robin Atkin Downes",0.0354817910178917
"649","Andrea Martin",0.0350347956975992
"650","Matt Frewer",0.0341033789710317
"651","Charlie McDermott",0.0337838000884012
"652","Bruce Greenwood",0.0336028383691768
"653","Dianne Wiest",0.0335948000399586
"654","Danny Huston",0.0335343876384228
"655","Frances Fisher",0.0332871970943207
"656","Brad Pitt",0.0331580136364504
"657","Lucy",0.0327158521380171
"658","Aidan Quinn",0.0326623598912887
"659","Kevin Zegers",0.0323986603021117
"660","Julie Walters",0.0321268932005205
"661","Angela Sarafyan",0.0318008499262978
"662","Jack McBrayer",0.0317887140484937
"663","Oliver Platt",0.0317242411053159
"664","Tony Cox",0.03160621853855
"665","Ben Mendelsohn",0.0315163206493919
"666","Jennifer Garner",0.0313574832903621
"667","Pruitt Taylor Vince",0.0310444733309354
"668","Devin Ratray",0.0305174952162602
"669","David Ogden Stiers",0.0304136526789199
"670","Sean Hayes",0.0302391351789785
"671","Busy Philipps",0.0295391733042271
"672","Ian Somerhalder",0.0292967209480398
"673","Robert Duvall",0.029252723046854
"674","Lew Temple",0.0291390672155358
"675","Charlize Theron",0.0289562538617977
"676","Haley Bennett",0.0287469612554227
"677","Julian Richings",0.028614799912235
"678","Chris Klein",0.0283637502234374
"679","Michael Par??",0.0283612267280499
"680","T.I.",0.0280507953309959
"681","Ray Winstone",0.0280281896002788
"682","Naomi Watts",0.0274575222524693
"683","Lauren Cohan",0.0274215244895298
"684","Eric Dane",0.0270815730681504
"685","Aisha Tyler",0.0270516841817768
"686","Clint Howard",0.0266551159624374
"687","Bailee Madison",0.0263688357682658
"688","Dan Byrd",0.0260055665114808
"689","Radha Mitchell",0.0259073385124577
"690","Aidan Turner",0.0258284537566848
"691","Adrian Martinez",0.0252935838929212
"692","Abigail Spencer",0.0242356271184567
"693","Colm Feore",0.0240075476213269
"694","Scott Mechlowicz",0.02394531605903
"695","Jay Chandrasekhar",0.0234330109747551
"696","America Ferrera",0.023113811638672
"697","Brighton Sharbino",0.0228673377998061
